event_number,track_id,step_number,x,y,z,ux,uy,uz,angle,step_length,track_length,E_kin,E_dep
0,1,0,0.000,0.000,0.000,-0.933,0.297,0.203,0.000,0.000,0.000,50.000,0.000
0,1,2,-0.149,0.053,0.029,-0.160,0.969,-0.186,66.446,0.332,0.337,41.947,8.053
0,1,3,-0.159,0.113,0.018,-0.250,0.893,-0.374,65.009,0.081,0.417,37.191,1.802
0,1,4,-0.183,0.200,-0.018,0.242,0.942,-0.232,89.613,0.208,0.625,30.201,6.990
0,1,5,-0.167,0.266,-0.035,0.378,0.792,0.479,91.105,0.151,0.776,26.528,3.673
0,1,6,-0.145,0.311,-0.007,-0.782,-0.388,0.488,44.485,0.124,0.900,24.236,2.292
0,1,7,-0.184,0.292,0.017,-0.831,0.515,0.209,13.828,0.109,1.008,21.086,3.150
0,1,8,-0.216,0.312,0.025,-0.042,0.542,0.840,68.247,0.089,1.097,11.764,9.321
0,1,9,-0.217,0.321,0.039,0.425,-0.293,0.856,108.047,0.043,1.140,3.781,7.983
0,1,10,-0.216,0.320,0.041,0.383,-0.570,0.727,112.255,0.017,1.157,0.564,3.217
0,1,11,-0.216,0.320,0.042,0.383,-0.570,0.727,112.255,0.002,1.158,0.000,0.564
0,2,1,-0.163,0.125,0.013,-0.252,0.900,-0.354,0.000,0.013,0.013,0.000,0.045
0,6,1,-0.162,0.125,0.013,-0.364,-0.586,0.724,124.109,0.000,0.000,0.000,0.044
0,5,1,-0.163,0.125,0.013,-0.832,-0.533,0.151,0.000,0.000,0.000,0.000,0.046
0,4,1,-0.163,0.125,0.013,0.603,-0.760,-0.241,0.000,0.000,0.000,0.542,0.000
0,4,2,-0.162,0.125,0.013,0.603,-0.760,-0.241,0.000,0.001,0.001,0.000,0.542
0,3,1,-0.163,0.125,0.013,0.865,-0.085,-0.494,0.000,0.000,0.000,2.274,0.002
0,3,2,-0.161,0.125,0.012,-0.788,0.579,-0.207,129.023,0.010,0.010,0.535,1.740
0,3,3,-0.161,0.125,0.012,-0.788,0.579,-0.207,129.023,0.001,0.012,0.000,0.535
1,1,0,0.000,0.000,0.000,0.372,-0.018,0.928,0.000,0.000,0.000,50.000,0.000
1,1,1,0.001,0.000,0.001,0.422,0.309,0.852,19.530,0.002,0.002,49.698,0.302
1,1,2,0.066,0.048,0.134,0.728,0.655,0.200,63.582,0.329,0.331,47.354,2.344
1,1,4,0.149,0.122,0.159,0.801,-0.571,-0.177,81.688,0.239,0.571,36.776,3.892
1,1,5,0.225,0.067,0.142,0.470,-0.455,-0.757,121.241,0.204,0.775,33.626,3.150
1,1,6,0.264,0.030,0.080,0.453,0.247,0.857,16.437,0.178,0.953,31.717,1.909
1,1,7,0.298,0.048,0.144,0.794,-0.497,-0.351,91.200,0.162,1.115,24.967,6.750
1,1,8,0.339,0.022,0.126,-0.225,-0.974,0.010,93.265,0.113,1.229,20.908,4.059
1,1,9,0.330,-0.016,0.126,0.153,-0.905,-0.397,107.135,0.088,1.316,18.474,2.434
1,1,10,0.335,-0.045,0.113,0.775,-0.322,0.545,36.897,0.074,1.391,13.003,5.471
1,1,11,0.350,-0.051,0.124,0.363,0.078,-0.929,136.728,0.048,1.439,10.400,2.603
1,1,12,0.355,-0.050,0.111,-0.973,-0.018,-0.231,125.190,0.038,1.476,7.485,2.915
1,1,13,0.347,-0.050,0.109,-0.580,0.263,0.771,60.339,0.028,1.504,5.926,1.559
1,1,14,0.343,-0.048,0.114,0.159,-0.950,-0.270,100.018,0.023,1.527,2.670,3.256
1,1,15,0.343,-0.050,0.113,0.384,0.069,0.921,5.057,0.012,1.539,0.000,2.670
1,2,1,-0.067,0.027,-0.098,-0.498,-0.083,-0.863,0.000,0.269,0.269,0.000,0.173
1,12,1,-0.067,0.027,-0.098,-0.397,0.917,-0.042,149.432,0.000,0.000,0.000,0.021
1,11,1,-0.067,0.027,-0.098,0.828,0.170,0.535,37.625,0.000,0.000,0.000,0.021
1,10,1,-0.067,0.027,-0.098,0.958,-0.147,0.245,0.000,0.000,0.000,0.000,0.046
1,9,1,-0.067,0.027,-0.098,0.681,-0.430,-0.593,162.447,0.000,0.000,0.000,0.035
1,8,1,-0.067,0.027,-0.098,-0.764,-0.143,-0.629,0.000,0.000,0.000,0.000,0.046
1,7,1,-0.067,0.027,-0.098,-0.011,-0.795,0.607,116.241,0.000,0.000,0.000,0.012
1,6,1,-0.067,0.027,-0.098,0.194,-0.221,0.956,0.000,0.000,0.000,0.000,0.010
1,5,1,-0.067,0.027,-0.098,0.277,-0.733,-0.621,0.000,0.000,0.000,0.710,0.001
1,5,2,-0.067,0.026,-0.098,0.277,-0.733,-0.621,0.000,0.002,0.002,0.000,0.710
1,4,1,-0.067,0.027,-0.098,-0.909,0.391,0.143,116.110,0.000,0.000,0.000,0.047
1,3,1,-0.067,0.027,-0.098,-0.549,0.442,-0.710,0.000,0.000,0.000,5.560,0.004
1,3,2,-0.070,0.029,-0.102,0.898,-0.414,0.147,141.278,0.022,0.022,3.468,2.092
1,3,3,-0.067,0.028,-0.102,-0.638,-0.762,0.109,93.698,0.016,0.038,1.631,1.837
1,3,4,-0.068,0.027,-0.102,-0.638,-0.762,0.109,93.698,0.006,0.044,0.000,1.631
2,1,0,0.000,0.000,0.000,0.727,0.564,0.392,0.000,0.000,0.000,50.000,0.000
2,1,2,0.115,0.089,0.062,-0.332,0.776,-0.536,90.816,0.332,0.334,43.530,6.470
2,1,3,0.074,0.186,-0.005,-0.167,0.977,0.131,61.252,0.267,0.601,31.294,12.237
2,1,4,0.061,0.258,0.005,0.275,-0.651,0.708,83.645,0.159,0.760,29.627,1.667
2,1,5,0.080,0.214,0.052,-0.708,-0.098,-0.699,147.613,0.146,0.906,28.127,1.500
2,1,6,0.036,0.208,0.009,-0.600,-0.017,-0.800,139.392,0.135,1.041,24.944,3.183
2,1,7,0.005,0.207,-0.032,-0.235,0.970,0.067,66.291,0.113,1.155,21.160,3.784
2,1,8,-0.004,0.246,-0.030,-0.736,0.669,-0.108,101.536,0.089,1.244,18.312,2.848
2,1,9,-0.028,0.267,-0.033,-0.370,0.043,0.928,83.150,0.073,1.318,17.599,0.714
2,1,10,-0.039,0.269,-0.005,-0.358,-0.865,0.353,127.536,0.070,1.387,14.056,3.542
2,1,11,-0.047,0.250,0.002,-0.303,0.660,0.687,65.096,0.052,1.440,11.020,3.037
2,1,12,-0.051,0.260,0.013,0.474,-0.117,0.873,51.620,0.040,1.480,10.288,0.732
2,1,13,-0.045,0.258,0.024,0.407,-0.896,0.179,97.958,0.037,1.517,6.322,3.966
2,1,14,-0.042,0.253,0.026,0.715,0.322,-0.621,62.808,0.024,1.541,5.524,0.798
2,1,15,-0.038,0.254,0.022,-0.062,0.880,0.471,50.527,0.022,1.563,2.707,2.817
2,1,16,-0.038,0.256,0.023,0.691,-0.718,-0.088,86.410,0.013,1.575,0.000,2.707
3,1,0,0.000,0.000,0.000,-0.804,0.578,-0.138,0.000,0.000,0.000,50.000,0.000
3,1,2,-0.126,0.096,0.009,-0.125,-0.591,-0.797,97.505,0.332,0.334,45.197,4.803
3,1,3,-0.142,0.017,-0.097,0.850,0.365,0.380,121.667,0.283,0.617,42.145,3.052
3,1,4,-0.041,0.060,-0.052,0.713,0.669,0.209,102.433,0.253,0.870,37.923,4.222
3,1,5,0.030,0.128,-0.031,0.970,0.061,-0.235,135.410,0.214,1.084,34.390,3.533
3,1,6,0.113,0.133,-0.051,-0.571,0.264,0.777,59.716,0.184,1.268,31.885,2.505
3,1,7,0.070,0.153,0.008,0.731,-0.150,0.665,140.102,0.164,1.432,28.331,3.553
3,1,8,0.116,0.143,0.050,-0.862,0.369,0.347,30.809,0.137,1.569,25.623,2.708
3,1,9,0.069,0.163,0.069,-0.292,0.381,-0.878,54.836,0.118,1.686,22.801,2.822
3,1,10,0.056,0.180,0.029,-0.249,0.889,-0.384,39.902,0.099,1.786,20.133,2.668
3,1,11,0.047,0.213,0.015,0.559,0.240,-0.794,101.614,0.083,1.869,17.197,2.937
3,1,12,0.063,0.220,-0.008,-0.687,0.272,0.674,51.967,0.068,1.937,15.467,1.730
3,1,13,0.046,0.227,0.009,0.769,-0.603,0.211,175.149,0.059,1.996,12.939,2.528
3,1,14,0.061,0.215,0.013,0.782,0.517,0.347,112.222,0.048,2.043,10.937,2.002
3,1,15,0.073,0.223,0.018,-0.444,0.843,-0.304,27.572,0.040,2.083,7.603,3.334
3,1,16,0.069,0.230,0.015,-0.261,-0.307,-0.915,80.849,0.028,2.111,5.587,2.017
3,1,17,0.067,0.228,0.010,0.412,-0.867,0.280,150.586,0.022,2.133,4.685,0.902
3,1,18,0.069,0.225,0.011,-0.855,0.367,0.367,31.924,0.020,2.153,2.328,2.357
3,1,19,0.068,0.225,0.012,-0.141,-0.887,-0.440,109.794,0.011,2.163,0.000,2.328
4,1,0,0.000,0.000,0.000,0.437,0.853,0.286,0.000,0.000,0.000,50.000,0.000
4,1,1,0.001,0.001,0.000,0.437,0.853,0.286,0.000,0.002,0.002,49.983,0.017
4,1,2,0.069,0.135,0.045,-0.833,0.402,-0.381,97.489,0.332,0.334,31.653,18.330
4,1,3,0.007,0.165,0.017,-0.669,0.351,-0.655,100.367,0.162,0.496,28.281,3.371
4,1,4,-0.035,0.187,-0.024,-0.953,-0.099,0.285,114.762,0.137,0.632,22.935,5.346
4,1,5,-0.078,0.183,-0.011,-0.566,0.159,0.809,83.094,0.100,0.732,18.794,4.141
4,1,6,-0.097,0.188,0.015,0.608,-0.567,-0.556,112.153,0.076,0.809,18.072,0.722
4,1,7,-0.078,0.170,-0.002,0.088,-0.798,-0.596,144.350,0.072,0.881,17.198,0.874
4,1,8,-0.075,0.147,-0.019,0.009,0.120,0.993,66.991,0.068,0.948,14.375,2.823
4,1,9,-0.075,0.150,0.003,-0.767,-0.638,0.065,149.407,0.054,1.002,11.895,2.480
4,1,10,-0.088,0.139,0.004,0.868,0.429,-0.251,47.718,0.043,1.045,9.599,2.296
4,1,11,-0.077,0.144,0.001,0.314,0.601,-0.735,63.944,0.035,1.080,6.756,2.843
4,1,12,-0.075,0.149,-0.005,-0.217,-0.679,0.702,118.216,0.025,1.105,2.252,4.504
4,1,13,-0.075,0.148,-0.004,-0.074,0.967,-0.244,43.780,0.010,1.116,0.367,1.885
4,1,14,-0.075,0.148,-0.004,-0.074,0.967,-0.244,43.780,0.001,1.116,0.000,0.367
5,1,0,0.000,0.000,0.000,0.746,0.612,-0.260,0.000,0.000,0.000,50.000,0.000
5,1,2,0.118,0.097,-0.041,0.816,0.498,-0.294,7.908,0.332,0.334,46.361,3.639
